value_loss,explained_variance,reconstruct_loss,contrastive_loss,atten_decoder_loss,total_timesteps,policy_loss,fps,atten_encoder_loss,policy_entropy,nupdates,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
1.9559325664886273e-05,-0.5122182369232178,0.017354631796479225,1.998515009880066,0.014779634773731232,23580000,-0.005059326067566872,270,2.695350667636376e-05,1.384024977684021,500,185.82,1.49,,,,,
0.0008283575880341232,-0.020445823669433594,0.01740749552845955,1.9982651472091675,0.022811146453022957,23620000,-0.011486486531794071,268,0.0001323986507486552,1.3859198093414307,1000,181.83,1.4,,,,,
,,,,,,,,,,,,,23640080,475,-0.007785797119140625,1.28,176.31
0.001750638708472252,-0.0018433332443237305,0.017403291538357735,1.9953805208206177,0.020786669105291367,23650080,-0.023859668523073196,239,1.8392975107417442e-05,1.3859888315200806,1,177.64,1.22,,,,,
0.09341190755367279,0.00013589859008789062,0.0171680748462677,1.9945675134658813,0.01579066924750805,23690000,0.06681632995605469,271,1.3308329471328761e-05,1.3823959827423096,500,188.66,1.49,,,,,
0.051471155136823654,0.0014348626136779785,0.017381591722369194,1.9961199760437012,0.021871965378522873,23730000,0.032039761543273926,272,3.473361357464455e-05,1.3783196210861206,1000,182.36,1.37,,,,,
,,,,,,,,,,,,,23750080,401,0.000644683837890625,1.44,185.37
0.002716075163334608,-0.030008554458618164,0.017234228551387787,1.994214653968811,0.015797536820173264,23760080,-0.030304307118058205,258,1.0565326192590874e-05,1.3819347620010376,1,195.36,1.67,,,,,
0.012255612760782242,0.0003005862236022949,0.017294762656092644,1.9974939823150635,0.015799257904291153,23800000,0.007843492552638054,263,2.198684524046257e-05,1.3850831985473633,500,176.7,1.28,,,,,
0.0029014493338763714,-0.006634831428527832,0.017388686537742615,1.9977161884307861,0.016811218112707138,23840000,-0.024431776255369186,264,2.1497948182513937e-05,1.3834235668182373,1000,174.67,1.23,,,,,
,,,,,,,,,,,,,23860080,401,0.0007352828979492188,1.39,182.49
3.0228367904783227e-05,-0.11109554767608643,0.017378078773617744,1.9988110065460205,0.01778380200266838,23870080,-0.006766828708350658,299,3.451098018558696e-05,1.3847297430038452,1,169.5,1.04,,,,,
